zy_formatted_village2.txt

VEHICLE
3
NUMBER CAPACITY FIXEDCOST UNITCOST MAXSERVICE MAXDISTANCE TYPENAME
0613401011903 117.758820 32.204544 10 0 600 3
0613401011907 117.758390 32.204110 25 0 600 3
0613401011911 117.758330 32.203550 75 0 600 3
0613401011918 117.609840 32.209892 60 0 600 3
0613401037527 117.471650 32.067715 45 0 600 3
0613401011919 117.609840 32.209892 124 0 600 3
0613401011920 117.610020 32.214700 30 0 600 3
0613401011917 117.826324 32.202770 45 0 600 3
0613401036581 117.756090 32.201393 25 0 600 3
0613401037529 117.445300 32.103220 10 0 600 3
0613401011932 117.610190 32.217663 35 0 600 3
0613401011935 117.610190 32.217663 30 0 600 3
0613401011936 117.610020 32.214700 95 0 600 3
0613401011940 117.610020 32.214700 30 0 600 3
0613401011941 117.609840 32.209892 25 0 600 3
0613401011947 117.826310 32.202793 84 0 600 3
0613401011948 117.826310 32.203716 50 0 600 3
0613401011953 117.827048 32.203138 15 0 600 3
0613401011956 117.826340 32.200127 45 0 600 3
0613401011958 117.828627 32.202469 25 0 600 3
0613401011960 117.827300 32.202370 15 0 600 3
0613401011961 117.826330 32.201610 35 0 600 3
0613401011965 117.827712 32.191406 15 0 600 3
0613401011966 117.826340 32.200780 10 0 600 3
0613401011972 117.693300 32.136860 10 0 600 3
0613401011978 117.693260 32.136864 10 0 600 3
0613401011985 117.663860 32.212215 25 0 600 3
0613401011992 117.379105 32.063007 58 0 600 3
0613401011995 117.379800 32.065636 110 0 600 3
0613401012000 117.383360 32.079937 65 0 600 3
0613401012003 117.385376 32.074535 45 0 600 3
0613401012006 117.383200 32.078610 54 0 600 3
0613401012007 117.385376 32.074535 45 0 600 3
0613401012008 117.385376 32.074535 30 0 600 3
0613401012010 117.385376 32.074535 25 0 600 3
0613401012011 117.385376 32.074535 45 0 600 3
0613401012015 117.379800 32.065636 50 0 600 3
0613401012016 117.385376 32.074535 15 0 600 3
0613401012017 117.385376 32.074535 15 0 600 3
0613401012018 117.385400 32.074700 75 0 600 3
0613401012025 117.379800 32.065636 49 0 600 3
0613401012026 117.386310 32.093660 20 0 600 3
0613401012029 117.386310 32.093660 117 0 600 3
0613401012030 117.385376 32.074535 100 0 600 3
0613401012033 117.385376 32.074535 40 0 600 3
0613401012038 117.386310 32.093660 35 0 600 3
0613401012039 117.408110 32.088337 15 0 600 3
0613401012046 117.390945 32.127266 40 0 600 3
0613401012048 117.447655 32.189873 30 0 600 3
0613401012050 117.454666 32.196903 25 0 600 3
0613401012051 117.454785 32.197035 20 0 600 3
0613401012052 117.455900 32.198020 60 0 600 3
0613401012053 117.456980 32.199474 10 0 600 3
0613401012054 117.456980 32.199474 59 0 600 3
0613401012061 117.457600 32.200290 54 0 600 3
0613401012064 117.458130 32.201054 55 0 600 3
0613401012078 117.406560 32.163140 15 0 600 3
0613401012079 117.395960 32.179310 15 0 600 3
0613401012080 117.392365 32.185560 30 0 600 3
0613401012087 117.389220 32.189200 60 0 600 3
0613401012096 117.387566 32.190285 20 0 600 3
0613401012097 117.386955 32.190740 25 0 600 3
0613401012101 117.386070 32.191555 20 0 600 3
0613401012108 117.374020 32.207880 35 0 600 3
0613401012115 117.365944 32.228990 15 0 600 3
0613401012118 117.364280 32.230774 25 0 600 3
0613401012136 117.365944 32.228990 45 0 600 3
0613401012304 117.827450 32.180900 15 0 600 3
0613401012316 117.821460 32.146072 30 0 600 3
0613401012319 117.822900 32.145940 35 0 600 3
0613401012320 117.822080 32.146065 109 0 600 3
0613401012321 117.824036 32.145542 40 0 600 3
0613401012323 117.825480 32.145016 64 0 600 3
0613401012330 117.826126 32.144756 54 0 600 3
0613401012331 117.826040 32.144810 60 0 600 3
0613401012334 117.825720 32.144960 35 0 600 3
0613401012335 117.826270 32.145010 25 0 600 3
0613401012341 117.826000 32.148020 20 0 600 3
0613401012342 117.825000 32.149550 30 0 600 3
0613401012348 117.822780 32.147720 20 0 600 3
0613401012352 117.709350 32.071465 45 0 600 3
0613401012355 117.735440 32.069984 15 0 600 3
0613401012356 117.735460 32.069210 25 0 600 3
0613401012359 117.735800 32.069320 25 0 600 3
0613401012363 117.742724 32.086004 25 0 600 3
0613401012364 117.750840 32.089634 15 0 600 3
0613401012369 117.735490 32.069750 40 0 600 3
0613401012372 117.782360 32.107845 25 0 600 3
0613401012373 117.782360 32.107845 15 0 600 3
0613401012375 117.780304 32.103287 25 0 600 3
0613401012381 117.782520 32.107964 20 0 600 3
0613401012383 117.782870 32.108530 118 0 600 3
0613401012389 117.782870 32.108530 25 0 600 3
0613401012390 117.782906 32.108566 30 0 600 3
0613401012391 117.782870 32.108772 60 0 600 3
0613401012392 117.782850 32.108932 35 0 600 3
0613401012394 117.782900 32.109530 75 0 600 3
0613401012395 117.782860 32.109585 30 0 600 3
0613401012396 117.780785 32.111977 25 0 600 3
0613401012397 117.781500 32.112026 45 0 600 3
0613401012401 117.781456 32.112160 35 0 600 3
0613401012402 117.781760 32.111404 30 0 600 3
0613401012411 117.736160 32.069420 10 0 600 3
0613401012434 117.429220 32.148514 55 0 600 3
0613401012436 117.428340 32.148273 15 0 600 3
0613401012445 117.428300 32.146970 15 0 600 3
0613401015896 117.744620 32.078037 30 0 600 3
0613401012448 117.428030 32.146446 20 0 600 3
0613401012449 117.427770 32.146286 40 0 600 3
0613401012450 117.427770 32.146286 40 0 600 3
0613401012452 117.427770 32.146286 20 0 600 3
0613401012453 117.426570 32.145947 35 0 600 3
0613401012456 117.425415 32.144882 10 0 600 3
0613401012468 117.426220 32.145992 70 0 600 3
0613401012476 117.425870 32.145520 170 0 600 3
0613401012483 117.473430 32.063858 45 0 600 3
0613401012487 117.471650 32.067715 45 0 600 3
0613401012488 117.471650 32.067715 20 0 600 3
0613401012489 117.471650 32.067715 30 0 600 3
0613401012492 117.473980 32.064327 5 0 600 3
0613401012495 117.471650 32.067715 56 0 600 3
0613401012496 117.471650 32.067715 79 0 600 3
0613401012497 117.471650 32.067715 40 0 600 3
0613401012501 117.471600 32.067710 100 0 600 3
0613401012503 117.471650 32.067715 10 0 600 3
0613401012504 117.471650 32.067715 80 0 600 3
0613401012524 117.458080 32.096844 15 0 600 3
0613401012528 117.459740 32.106644 40 0 600 3
0613401012529 117.459760 32.103886 20 0 600 3
0613401012538 117.460884 32.106800 49 0 600 3
0613401012541 117.457565 32.112682 35 0 600 3
0613401012544 117.442260 32.132910 10 0 600 3
0613401012545 117.432014 32.141853 96 0 600 3
0613401012548 117.431700 32.147360 65 0 600 3
0613401012552 117.431510 32.147360 40 0 600 3
0613401012554 117.430700 32.147500 45 0 600 3
0613401012558 117.431206 32.150530 10 0 600 3
0613401012562 117.474040 32.107502 10 0 600 3
0613401012563 117.471650 32.067715 50 0 600 3
0613401012573 117.409310 32.247753 20 0 600 3
0613401012574 117.392220 32.185562 20 0 600 3
0613401012744 117.528656 32.190468 80 0 600 3
0613401012748 117.558050 32.205875 85 0 600 3
0613401012750 117.528656 32.190468 25 0 600 3
0613401012753 117.529182 32.187831 45 0 600 3
0613401012754 117.530700 32.183727 45 0 600 3
0613401012756 117.528700 32.190480 30 0 600 3
0613401012757 117.528656 32.190468 20 0 600 3
0613401012758 117.528656 32.190468 75 0 600 3
0613401012759 117.528656 32.190468 85 0 600 3
0613401012763 117.526210 32.190490 25 0 600 3
0613401012768 117.582600 32.174180 10 0 600 3
0613401012772 117.582600 32.174180 25 0 600 3
0613401012784 117.609550 32.153420 35 0 600 3
0613401012785 117.609726 32.154960 40 0 600 3
0613401012786 117.609580 32.152664 65 0 600 3
0613401012789 117.611350 32.152040 106 0 600 3
0613401012796 117.607350 32.152140 45 0 600 3
0613401012800 117.609300 32.163326 10 0 600 3
0613401012804 117.609570 32.163330 84 0 600 3
0613401012808 117.610420 32.163130 15 0 600 3
0613401012809 117.606060 32.146390 20 0 600 3
0613401012812 117.617966 32.144928 5 0 600 3
0613401012813 117.618060 32.144940 5 0 600 3
0613401012820 117.679900 32.137310 40 0 600 3
0613401012831 117.678375 32.140583 10 0 600 3
0613401012836 117.679886 32.137310 98 0 600 3
0613401012839 117.692690 32.136913 15 0 600 3
0613401012841 117.729280 32.130703 5 0 600 3
0613401012842 117.729280 32.130703 145 0 600 3
0613401012843 117.729280 32.130703 35 0 600 3
0613401012845 117.729280 32.130703 35 0 600 3
0613401012846 117.729280 32.130703 54 0 600 3
0613401012847 117.729300 32.130700 60 0 600 3
0613401012862 117.726730 32.153520 5 0 600 3
0613401012903 117.481430 31.961664 45 0 600 3
0613401012907 117.481504 31.953054 20 0 600 3
0613401012908 117.481430 31.961664 60 0 600 3
0613401012910 117.481430 31.961664 20 0 600 3
0613401012911 117.482150 31.967365 20 0 600 3
0613401012912 117.482150 31.967365 45 0 600 3
0613401012914 117.477270 32.020226 35 0 600 3
0613401012915 117.482488 31.989659 10 0 600 3
0613401012916 117.481050 31.998388 15 0 600 3
0613401012918 117.481050 31.998388 50 0 600 3
0613401012920 117.481050 31.998388 20 0 600 3
0613401012922 117.480760 32.002228 90 0 600 3
0613401012924 117.480760 32.002228 10 0 600 3
0613401012927 117.480760 32.002228 50 0 600 3
0613401031739 117.579670 32.059883 35 0 600 3
0613401012930 117.477630 32.018930 25 0 600 3
0613401012951 117.481430 31.961664 50 0 600 3
0613401012953 117.481050 31.998388 20 0 600 3
0613401013169 117.576515 32.042690 45 0 600 3
0613401013170 117.576500 32.042580 54 0 600 3
0613401013173 117.566910 32.023396 10 0 600 3
0613401013175 117.586140 32.083874 45 0 600 3
0613401013177 117.586200 32.083626 40 0 600 3
0613401013179 117.581250 32.059692 35 0 600 3
0613401013180 117.579956 32.059837 10 0 600 3
0613401013182 117.578570 32.059720 10 0 600 3
0613401013184 117.578440 32.059670 5 0 600 3
0613401013185 117.578540 32.059715 15 0 600 3
0613401013188 117.626205 32.106796 40 0 600 3
0613401013192 117.638760 32.108982 30 0 600 3
0613401013197 117.639720 32.109210 30 0 600 3
0613401013200 117.640380 32.109360 15 0 600 3
0613401013209 117.640910 32.107845 70 0 600 3
0613401013215 117.586205 32.083850 40 0 600 3
0613401013220 117.593254 32.109146 15 0 600 3
0613401013225 117.640380 32.109380 40 0 600 3
0613401013226 117.590560 32.108620 5 0 600 3
0613401013228 117.532425 32.121235 10 0 600 3
0613401013230 117.532180 32.121780 50 0 600 3
0613401013231 117.532080 32.121864 35 0 600 3
0613401013234 117.531746 32.123283 35 0 600 3
0613401013236 117.531746 32.124100 40 0 600 3
0613401013243 117.531685 32.125023 60 0 600 3
0613401013247 117.531654 32.125440 20 0 600 3
0613401013251 117.527830 32.123814 20 0 600 3
0613401013252 117.530687 32.124188 65 0 600 3
0613401013258 117.532470 32.121502 25 0 600 3
0613401013259 117.535500 32.111790 10 0 600 3
0613401013260 117.539800 32.095770 15 0 600 3
0613401013265 117.544100 32.075817 15 0 600 3
0613401013267 117.544100 32.075817 5 0 600 3
0613401013268 117.543410 32.075638 45 0 600 3
0613401013269 117.542962 32.075733 10 0 600 3
0613401013270 117.542990 32.075546 89 0 600 3
0613401013272 117.542690 32.075527 75 0 600 3
0613401013275 117.542900 32.076630 30 0 600 3
0613401013278 117.584300 32.084230 50 0 600 3
0613401013283 117.531510 32.127160 30 0 600 3
0613401013284 117.601900 32.142365 20 0 600 3
0613401013285 117.602036 32.142075 55 0 600 3
0613401049208 117.386310 32.093660 15 0 600 3
0613401036707 117.531525 32.126410 65 0 600 3
0613401033426 117.647134 32.022471 5 0 600 3
0613401040180 117.819000 32.146340 40 0 600 3
0613401013738 117.558960 32.007350 180 0 600 3
0613401013745 117.530140 32.151920 10 0 600 3
0613401049231 117.558960 32.007350 79 0 600 3
0613401014183 117.747150 32.099567 15 0 600 3
0613401014186 117.735634 32.133120 15 0 600 3
0613401037908 117.459740 32.106644 40 0 600 3
0613401033469 117.459720 32.207554 65 0 600 3
0613401037917 117.823390 32.150337 10 0 600 3
0613401037918 117.733840 32.069065 10 0 600 3
0613401037919 117.390945 32.127266 25 0 600 3
0613401015998 117.583410 32.002964 25 0 600 3
0613401014509 117.426570 32.145947 15 0 600 3
0613401014616 117.664770 32.026040 40 0 600 3
0613401014619 117.664890 32.026443 30 0 600 3
0613401037938 117.610020 32.214700 45 0 600 3
0613401014621 117.665330 32.027490 35 0 600 3
0613401014623 117.665540 32.027912 30 0 600 3
0613401014626 117.666400 32.027710 60 0 600 3
0613401014627 117.667160 32.027462 10 0 600 3
0613401014631 117.665405 32.031220 15 0 600 3
0613401014634 117.665050 32.031895 100 0 600 3
0613401014633 117.664925 32.031860 70 0 600 3
0613401014647 117.701590 32.061974 20 0 600 3
0613401014641 117.701380 32.061670 89 0 600 3
0613401037942 117.610020 32.214700 60 0 600 3
0613401014655 117.701740 32.062275 94 0 600 3
0613401014656 117.701990 32.062870 40 0 600 3
0613401014650 117.701430 32.062622 45 0 600 3
0613401037943 117.390945 32.127266 39 0 600 3
0613401037944 117.480760 32.002228 20 0 600 3
0613401037945 117.428410 32.088390 25 0 600 3
0613401038185 117.558960 32.007350 30 0 600 3
0613401038186 117.380590 32.068634 5 0 600 3
0613401015222 117.430970 32.225130 20 0 600 3
0613401015223 117.386300 32.190160 10 0 600 3
0613401015239 117.362885 32.207060 55 0 600 3
0613401015240 117.407410 32.259987 25 0 600 3
0613401015241 117.388030 32.190010 75 0 600 3
0613401015234 117.421140 32.247130 20 0 600 3
0613401015245 117.396996 32.241980 15 0 600 3
0613401015249 117.408090 32.261990 40 0 600 3
0613401015252 117.388100 32.238040 15 0 600 3
0613401038041 117.451580 32.092500 15 0 600 3
0613401015443 117.797250 32.197144 20 0 600 3
0613401015452 117.787220 32.158672 20 0 600 3
0613401015458 117.837914 32.140528 5 0 600 3
0613401015463 117.844910 32.139313 25 0 600 3
0613401015476 117.844399 32.158629 5 0 600 3
0613401015485 117.839081 32.182252 30 0 600 3
0613401038046 117.729280 32.130703 40 0 600 3
0613401015511 117.759575 32.205400 30 0 600 3
0613401015523 117.760300 32.233600 5 0 600 3
0613401015535 117.476130 32.183125 15 0 600 3
0613401015539 117.444016 32.190937 5 0 600 3
0613401015540 117.428110 32.196194 15 0 600 3
0613401015545 117.453600 32.221940 15 0 600 3
0613401015546 117.451830 32.228260 15 0 600 3
0613401015555 117.457020 32.176160 10 0 600 3
0613401015557 117.467860 32.196095 10 0 600 3
0613401015561 117.387920 32.184450 15 0 600 3
0613401015562 117.400860 32.151905 25 0 600 3
0613401015563 117.423830 32.149555 60 0 600 3
0613401015565 117.477810 32.158455 35 0 600 3
0613401015566 117.477340 32.165615 15 0 600 3
0613401015569 117.472484 32.148119 10 0 600 3
0613401015574 117.440890 32.148880 20 0 600 3
0613401015582 117.432810 32.105087 10 0 600 3
0613401015583 117.433550 32.105377 20 0 600 3
0613401015595 117.475460 32.125233 10 0 600 3
0613401015603 117.475464 32.125404 5 0 600 3
0613401015606 117.458000 32.094475 60 0 600 3
0613401015611 117.451580 32.092500 25 0 600 3
0613401015612 117.442620 32.101750 30 0 600 3
0613401015605 117.445250 32.103220 40 0 600 3
0613401015616 117.445300 32.103220 10 0 600 3
0613401015619 117.471650 32.067715 20 0 600 3
0613401015624 117.445250 32.103220 30 0 600 3
0613401015625 117.475460 32.125233 10 0 600 3
0613401015628 117.385160 32.085520 30 0 600 3
0613401015630 117.368835 32.143295 20 0 600 3
0613401015648 117.370770 32.052612 15 0 600 3
0613401015663 117.385376 32.074535 80 0 600 3
0613401015665 117.435684 32.021076 10 0 600 3
0613401015680 117.471650 32.067715 25 0 600 3
0613401038060 117.428116 32.146523 51 0 600 3
0613401015854 117.729520 32.092870 30 0 600 3
0613401015858 117.715050 32.080620 25 0 600 3
0613401015868 117.733500 32.035954 20 0 600 3
0613401015872 117.732220 32.035503 15 0 600 3
0613401015874 117.732080 32.035630 15 0 600 3
0613401015890 117.748955 32.053425 15 0 600 3
0613401015891 117.732220 32.035503 20 0 600 3
0613401030148 117.529300 32.175450 10 0 600 3
0613401015899 117.734567 32.231257 10 0 600 3
0613401015901 117.739553 32.231927 25 0 600 3
0613401015916 117.690521 32.224929 20 0 600 3
0613401015923 117.725490 32.192200 5 0 600 3
0613401015926 117.725610 32.179485 30 0 600 3
0613401015934 117.692993 32.227967 5 0 600 3
0613401038248 117.531510 32.127160 45 0 600 3
0613401015943 117.690720 32.136906 25 0 600 3
0613401015956 117.679886 32.137310 10 0 600 3
0613401015962 117.681800 32.178740 15 0 600 3
0613401015971 117.676130 32.213047 10 0 600 3
0613401015972 117.681760 32.178740 5 0 600 3
0613401015979 117.656906 32.211414 50 0 600 3
0613401015984 117.656900 32.211410 30 0 600 3
0613401015985 117.664637 32.241462 5 0 600 3
0613401015996 117.573240 32.001385 15 0 600 3
0613401016002 117.613270 32.012646 40 0 600 3
0613401016008 117.638520 32.021404 10 0 600 3
0613401016011 117.618820 32.015186 10 0 600 3
0613401016007 117.638330 32.021408 5 0 600 3
0613401016054 117.706670 32.036266 20 0 600 3
0613401016056 117.709450 32.033783 10 0 600 3
0613401038254 117.384900 32.192830 50 0 600 3
0613401016067 117.642948 32.060257 10 0 600 3
0613401016072 117.643745 32.055620 20 0 600 3
0613401016078 117.694400 32.083690 5 0 600 3
0613401016080 117.677090 32.043182 20 0 600 3
0613401016107 117.525359 31.992149 20 0 600 3
0613401016108 117.523898 31.995486 15 0 600 3
0613401016111 117.502640 31.992489 15 0 600 3
0613401016112 117.505600 31.994150 15 0 600 3
0613401038255 117.679886 32.137310 25 0 600 3
0613401016126 117.508486 32.022192 40 0 600 3
0613401016136 117.544800 32.055770 20 0 600 3
0613401038257 117.433210 32.147522 45 0 600 3
0613401038259 117.608650 32.160294 20 0 600 3
0613401038260 117.664770 32.026040 40 0 600 3
0613401017762 117.526026 32.192273 10 0 600 3
0613401033437 117.385160 32.085520 15 0 600 3
0613401016325 117.480760 32.002228 30 0 600 3
0613401016362 117.663800 32.069115 10 0 600 3
0613401016370 117.651690 32.085453 15 0 600 3
0613401016382 117.623600 32.084656 25 0 600 3
0613401016377 117.641300 32.069675 5 0 600 3
0613401016395 117.641840 32.142105 10 0 600 3
0613401016396 117.633156 32.124760 15 0 600 3
0613401016392 117.632656 32.126446 15 0 600 3
0613401016412 117.601280 32.144047 10 0 600 3
0613401016413 117.582580 32.174175 15 0 600 3
0613401016423 117.564710 32.176365 44 0 600 3
0613401016430 117.584124 32.205506 15 0 600 3
0613401016437 117.571850 32.188984 45 0 600 3
0613401016441 117.609850 32.213833 30 0 600 3
0613401016447 117.664654 32.241745 20 0 600 3
0613401016466 117.634476 32.002700 5 0 600 3
0613401016460 117.631350 32.006104 5 0 600 3
0613401016469 117.632034 31.988401 20 0 600 3
0613401016473 117.659890 32.009850 15 0 600 3
0613401016495 117.622110 31.993635 95 0 600 3
0613401016499 117.654945 31.997797 20 0 600 3
0613401016501 117.631890 31.988314 40 0 600 3
0613401016508 117.626690 31.989998 69 0 600 3
0613401016530 117.643100 32.031000 45 0 600 3
0613401016542 117.593900 32.032420 45 0 600 3
0613401016548 117.612870 32.000988 20 0 600 3
0613401016808 117.526480 32.094980 5 0 600 3
0613401016809 117.543370 32.112427 5 0 600 3
0613401016811 117.549720 32.100906 15 0 600 3
0613401016828 117.528640 32.144170 15 0 600 3
0613401016838 117.507580 32.177480 15 0 600 3
0613401016851 117.528190 32.155743 15 0 600 3
0613401016854 117.528190 32.155743 30 0 600 3
0613401016855 117.528190 32.155743 30 0 600 3
0613401016858 117.627846 32.171085 10 0 600 3
0613401016869 117.558180 32.207737 20 0 600 3
0613401016870 117.558050 32.205875 10 0 600 3
0613401016872 117.506134 32.197720 5 0 600 3
0613401016885 117.631320 32.208380 20 0 600 3
0613401016888 117.635000 32.207336 25 0 600 3
0613401016892 117.642040 32.174200 10 0 600 3
0613401016900 117.617035 32.233815 15 0 600 3
0613401016905 117.612450 32.249905 25 0 600 3
0613401016907 117.729280 32.130703 85 0 600 3
0613401016908 117.601900 32.142350 15 0 600 3
0613401016909 117.528656 32.190468 40 0 600 3
0613401016911 117.609240 32.152840 105 0 600 3
0613401016910 117.609530 32.152890 122 0 600 3
0613401016946 117.504110 31.980345 10 0 600 3
0613401016953 117.494980 31.987268 10 0 600 3
0613401016960 117.429980 32.014893 10 0 600 3
0613401016964 117.495310 32.004185 20 0 600 3
0613401016989 117.477440 32.020283 15 0 600 3
0613401017030 117.486720 32.039900 5 0 600 3
0613401017032 117.509550 32.031980 15 0 600 3
0613401017038 117.505420 32.054684 10 0 600 3
0613401017041 117.479300 32.029125 45 0 600 3
0613401017043 117.497890 32.026389 30 0 600 3
0613401017045 117.466605 32.025609 30 0 600 3
0613401017050 117.479300 32.029125 10 0 600 3
0613401017056 117.514000 32.047300 10 0 600 3
0613401017057 117.479620 32.046143 5 0 600 3
0613401017223 117.782850 32.108932 25 0 600 3
0613401017233 117.775240 32.140970 30 0 600 3
0613401017248 117.810900 32.107220 35 0 600 3
0613401017249 117.814300 32.113980 35 0 600 3
0613401017258 117.793300 32.138200 5 0 600 3
0613401017286 117.842881 32.108092 5 0 600 3
0613401017304 117.533670 32.130110 5 0 600 3
0613401017305 117.553980 32.135650 10 0 600 3
0613401017315 117.567210 32.105930 10 0 600 3
0613401017317 117.565760 32.094425 20 0 600 3
0613401017326 117.571846 32.139760 5 0 600 3
0613401017329 117.593310 32.136135 10 0 600 3
0613401017334 117.551010 32.133373 5 0 600 3
0613401017347 117.534710 32.050660 15 0 600 3
0613401017349 117.593220 32.136140 15 0 600 3
0613401017391 117.445220 32.021187 15 0 600 3
0613401017394 117.450942 32.016711 5 0 600 3
0613401017395 117.451256 31.979305 30 0 600 3
0613401017679 117.712900 32.102566 30 0 600 3
0613401017680 117.460884 32.106800 65 0 600 3
